,Year of Death,"All Races,Both Sexes","All Races,Males","All Races,Females"
0,1975,4.11,4.96,3.4
1,1976,4.34,5.28,3.56
2,1977,4.4,5.39,3.59
3,1978,4.53,5.54,3.71
4,1979,4.26,5.25,3.45
5,1980,4.37,5.45,3.47
6,1981,4.36,5.33,3.59
7,1982,4.43,5.38,3.67
8,1983,4.39,5.31,3.64
9,1984,4.55,5.57,3.74
10,1985,4.57,5.6,3.75
11,1986,4.53,5.59,3.68
12,1987,4.71,5.68,3.93
13,1988,4.72,5.89,3.79
14,1989,4.73,5.82,3.88
15,1990,4.87,5.97,3.99
16,1991,4.95,6.01,4.11
17,1992,4.85,5.88,4.03
18,1993,4.79,5.87,3.91
19,1994,4.84,5.88,3.97
20,1995,4.67,5.67,3.86
21,1996,4.73,5.74,3.91
22,1997,4.68,5.66,3.9
23,1998,4.68,5.7,3.83
24,1999,4.64,5.66,3.81
25,2000,4.53,5.58,3.67
26,2001,4.45,5.49,3.59
27,2002,4.45,5.46,3.62
28,2003,4.4,5.36,3.62
29,2004,4.31,5.22,3.53
30,2005,4.34,5.31,3.53
31,2006,4.17,5.12,3.39
32,2007,4.21,5.1,3.47
33,2008,4.28,5.25,3.46
34,2009,4.35,5.27,3.57
35,2010,4.25,5.22,3.42
36,2011,4.25,5.2,3.44
37,2012,4.4,5.43,3.52
38,2013,4.34,5.22,3.59
39,2014,4.43,5.41,3.58
