year ,values
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0.038253436
1985,0.140659444
1986,0.279060364
1987,0.498659917
1988,0.829863407
1989,1.39281703
1990,2.075802366
1991,2.939643902
1992,4.249049037
1993,6.103716586
1994,9.104921407
1995,12.6047249
1996,16.23815248
1997,20.14238484
1998,24.89063952
1999,30.57610298
2000,38.46809105
2001,44.69057874
2002,48.85103822
2003,54.84681409
2004,62.54719598
2005,68.31769507
2006,76.29353842
2007,82.06414479
2008,85.20916517
2009,88.62364611
2010,91.31165202
2011,94.44042596
2012,96.01037609
2013,97.07773939
2014,110.2041935
2015,117.5867444
